Gen3,Gen1,Gen2,Unmet_Load,Total_Generation,Hour
50,20,30,1172.2051,100,0
50,20,30,1159.5057,100,1
50,20,30,1143.3075,100,2
50,20,30,1122.04,100,3
50,20,30,1098.8857,100,4
50,20,30,1073.9429,100,5
50,20,30,1049.1053,100,6
50,20,30,1027.7147,100,7
50,20,30,1007.2917,100,8
50,20,30,989.136,100,9
50,20,30,977.6267,100,10
50,20,30,974.1352999999999,100,11
50,20,30,978.1912,100,12
50,20,30,988.4901,100,13
50,20,30,1007.6768999999999,100,14
50,20,30,1032.532,100,15
50,20,30,1055.3685,100,16
50,20,30,1079.3107,100,17
50,20,30,1405.35175,100,18
50,20,30,1434.96875,100,19
50,20,30,1458.6838750000002,100,20
50,20,30,1479.122625,100,21
50,20,30,1171.8885,100,22
50,20,30,1174.1587,100,23
50,20,30,1169.7842,100,24
50,20,30,1160.477,100,25
50,20,30,1145.1409,100,26
50,20,30,1126.3401,100,27
50,20,30,1103.0822,100,28
50,20,30,1078.9812,100,29
50,20,30,1054.1624,100,30
50,20,30,1033.2717,100,31
50,20,30,1014.7494999999999,100,32
50,20,30,1000.8281,100,33
50,20,30,993.7594999999999,100,34
50,20,30,992.4471000000001,100,35
50,20,30,998.0363,100,36
50,20,30,1007.3239000000001,100,37
50,20,30,1023.1721,100,38
50,20,30,1043.2372,100,39
50,20,30,1067.8735,100,40
50,20,30,1094.438,100,41
50,20,30,1426.3945,100,42
50,20,30,1457.8485,100,43
50,20,30,1485.666625,100,44
50,20,30,1502.48825,100,45
50,20,30,1189.3027,100,46
50,20,30,1191.2192,100,47
50,20,30,1185.7689,100,48
50,20,30,1175.0137,100,49
50,20,30,1159.8643,100,50
50,20,30,1142.6401,100,51
50,20,30,1122.2449,100,52
50,20,30,1099.8884,100,53
50,20,30,1076.1375,100,54
50,20,30,1050.6703,100,55
50,20,30,1027.7938,100,56
50,20,30,1008.1414,100,57
50,20,30,996.6011000000001,100,58
50,20,30,992.5309,100,59
50,20,30,995.9978000000001,100,60
50,20,30,1006.8279,100,61
50,20,30,1022.5815,100,62
50,20,30,1041.3408,100,63
50,20,30,1063.7103,100,64
50,20,30,1089.322,100,65
50,20,30,1416.11775,100,66
50,20,30,1445.423375,100,67
50,20,30,1469.39275,100,68
50,20,30,1490.02625,100,69
50,20,30,1181.3574,100,70
50,20,30,1186.2969,100,71
50,20,30,1182.6694,100,72
50,20,30,1172.1333,100,73
50,20,30,1157.6722,100,74
50,20,30,1138.2903,100,75
50,20,30,1112.9783,100,76
50,20,30,1087.9502,100,77
